UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air temperature [K]_rolling_3,Process temperature [K]_rolling_3,Rotational speed [rpm]_rolling_3,Torque [Nm]_rolling_3,Tool wear [min]_rolling_3,Air temperature [K]_rolling_5,Process temperature [K]_rolling_5,Rotational speed [rpm]_rolling_5,Torque [Nm]_rolling_5,Tool wear [min]_rolling_5,Air temperature [K]_rolling_10,Process temperature [K]_rolling_10,Rotational speed [rpm]_rolling_10,Torque [Nm]_rolling_10,Tool wear [min]_rolling_10,Temperature_diff,Temperature_ratio,Power,Power_per_temp,Efficiency,Wear_rate
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,298.4,308.9,1782.0,23.9,24.0,298.4,308.9,1782.0,23.9,24.0,298.4,308.9,1782.0,23.9,24.0,10.5,1.0351876675603218,4.4596649214659685,0.014437244808889508,0.17838659685863875,24.0
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,298.5,309.0,1602.5,34.099999999999994,26.5,298.5,309.0,1602.5,34.099999999999994,26.5,298.5,309.0,1602.5,34.099999999999994,26.5,10.5,1.0351640991292699,6.600931937172774,0.021355328169436343,0.2200310645724258,29.0
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,298.59999999999997,309.06666666666666,1503.6666666666667,40.9,34.333333333333336,298.59999999999997,309.06666666666666,1503.6666666666667,40.9,34.333333333333336,298.59999999999997,309.06666666666666,1503.6666666666667,40.9,34.333333333333336,10.399999999999977,1.034805890227577,7.4530890052356025,0.024104427571913334,0.14613900010265887,50.0
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,298.76666666666665,309.2,1368.0,47.166666666666664,45.666666666666664,298.675,309.125,1471.5,41.35,40.25,298.675,309.125,1471.5,41.35,40.25,10.400000000000034,1.0347942455670793,6.147905759162304,0.01987683724268446,0.10420179252817464,58.0
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,298.93333333333334,309.3,1497.3333333333333,40.6,61.666666666666664,298.76,309.18,1539.4,38.0,47.6,298.76,309.18,1539.4,38.0,47.6,10.299999999999955,1.0344366432631225,4.664984293193718,0.015077518723961597,0.059807490938380996,77.0
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,298.9666666666667,309.3,1521.6666666666667,39.333333333333336,80.33333333333333,298.86,309.23999999999995,1458.8,43.36,64.0,298.78333333333336,309.18333333333334,1512.6666666666667,40.11666666666667,57.333333333333336,10.300000000000011,1.0344596855135497,7.320973821989529,0.023677146901647895,0.06842031609336009,106.0
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,298.93333333333334,309.26666666666665,1520.6666666666667,41.26666666666667,101.0,298.9,309.26,1448.6,44.2,82.2,298.7857142857143,309.1857142857143,1492.5714285714287,41.31428571428571,66.28571428571429,10.399999999999977,1.034805890227577,6.967748691099477,0.022534762907824957,0.057584699926441954,120.0
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,298.8333333333333,309.2,1392.0,51.03333333333333,120.33333333333333,298.9,309.26,1472.4,44.08,99.2,298.7875,309.1875,1484.125,42.8875,74.875,10.399999999999977,1.034805890227577,8.042670157068063,0.02601122301768455,0.059137280566676935,135.0
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,298.8,309.13333333333327,1431.3333333333333,48.73333333333333,134.0,298.88,309.2,1496.8,44.3,117.0,298.7888888888889,309.1666666666667,1485.5555555555557,42.98888888888889,82.88888888888889,10.199999999999989,1.034136546184739,6.865821989528795,0.022219488639251765,0.04639068911843781,147.0
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,298.8,309.0333333333333,1462.6666666666667,47.26666666666667,155.33333333333334,298.82000000000005,309.09999999999997,1427.8,48.2,138.4,298.79,309.14,1483.6,43.1,93.0,10.099999999999966,1.03380187416332,6.7696963350785335,0.02191549477202504,0.03659295316258667,184.0
